N°,DNI,APELLIDOS,NOMBRES,CARGO,FECHA DE INICIO,REGIMEN LABORAL,ÓRGANO,UNIDAD ORGANICA,ESTADO,SERVIDORES CIVILES QUE TIENEN LICENCIA,CORREO ELECTRONICO INSTITUCIONAL,APELLIDOS Y NOMBRES
265,41154242,ÁLAMO RIQUELME,FELIX OLGA,Coordinador Adjunto,2018-05-05,CAS,Dirección General de Quizá,Oficina de Trabajo,ACTIVO,NO,,ÁLAMO RIQUELME FELIX OLGA
266,16194159,IBÁÑEZ AZORIN,FELIPA ALICIA,Especialista Técnico,2025-02-01,D.L. 728,Dirección General de Jóvenes,Oficina de Constitución,ACTIVO,NO,,IBÁÑEZ AZORIN FELIPA ALICIA
267,16046366,CALDERON VILLALOBOS,RENATA EDELMIRO,Especialista Técnico,2019-03-13,CAS,Dirección General de Mayo,Oficina de Nunca,ACTIVO,NO,,CALDERON VILLALOBOS RENATA EDELMIRO
268,29042655,LLAMAS SANCHO,VICENTA ARMIDA,Asistente Administrativo,2017-10-26,D.L. 728,Dirección General de Datos,Oficina de Sí,ACTIVO,NO,,LLAMAS SANCHO VICENTA ARMIDA
269,97252153,GIRONA SANMARTÍN,SOLEDAD PACO,Coordinador Adjunto,2025-08-26,CAS,Dirección General de Medios,Oficina de Han,ACTIVO,NO,,GIRONA SANMARTÍN SOLEDAD PACO
270,26054021,PRIETO VALLÉS,RAÚL JONATAN,Coordinador Adjunto,2020-03-16,CAS,Dirección General de Hace,Oficina de Campo,ACTIVO,NO,,PRIETO VALLÉS RAÚL JONATAN
271,48436638,GOMEZ ANAYA,MELCHOR CONRADO,Especialista Técnico,2024-09-26,D.L. 728,Dirección General de Iglesia,Oficina de Palabras,ACTIVO,NO,,GOMEZ ANAYA MELCHOR CONRADO
272,01898962,COLL CERVANTES,ANTONIO LUCIANO,Especialista Técnico,2025-07-09,D.L. 728,Dirección General de Atención,Oficina de Viaje,ACTIVO,NO,,COLL CERVANTES ANTONIO LUCIANO
273,06109014,CHAMORRO SOMOZA,VIDAL ENCARNACIÓN,Analista G1,2016-05-25,D.L. 276,Dirección General de Esa,Oficina de Al,ACTIVO,NO,,CHAMORRO SOMOZA VIDAL ENCARNACIÓN
274,39209917,JAÉN GARRIGA,PETRONA EUTIMIO,Especialista Técnico,2021-10-31,D.L. 276,Dirección General de Entrada,Oficina de Elementos,ACTIVO,NO,,JAÉN GARRIGA PETRONA EUTIMIO
275,65884624,ÁLAMO ROCHA,DAN MAURA,Analista G1,2019-03-24,CAS,Dirección General de Llegar,Oficina de Hecho,ACTIVO,NO,,ÁLAMO ROCHA DAN MAURA
276,77049596,  ASENJO GÓMEZ  ,  SIMÓN FELICIANA,Coordinador Adjunto,2024-04-14,D.L. 728,Dirección General de Joven,Oficina de Tiene,ACTIVO,NO,,  ASENJO GÓMEZ     SIMÓN FELICIANA
277,64251934,CANTERO VALERO,EDELMIRA BLANCA,Asistente Administrativo,2016-07-05,D.L. 728,Dirección General de Decisión,Oficina de Izquierda,ACTIVO,NO,,CANTERO VALERO EDELMIRA BLANCA
278,24744873,HERRANZ COBO   ,  LUPE TIMOTEO  ,Analista G1,2016-05-11,D.L. 728,Dirección General de Tengo,Oficina de Gente,ACTIVO,NO,,HERRANZ COBO      LUPE TIMOTEO  
279,64119727,RIERA EXPOSITO,GRACIANA GUIOMAR,Analista G1,2017-03-14,CAS,Dirección General de Premio,Oficina de Único,ACTIVO,NO,,RIERA EXPOSITO GRACIANA GUIOMAR
280,53782043,BAUZÀ ZORRILLA,CANDELAS ANUNCIACIÓN,Asistente Administrativo,2024-03-17,CAS,Dirección General de Económica,Oficina de Jóvenes,ACTIVO,NO,,BAUZÀ ZORRILLA CANDELAS ANUNCIACIÓN
281,77446469,ALMAGRO    PORTERO,  SAMANTA ADORACIÓN  ,Analista G1,2016-10-12,CAS,Dirección General de Servicio,Oficina de Vista,ACTIVO,NO,,ALMAGRO    PORTERO   SAMANTA ADORACIÓN  
282,20024961,IZAGUIRRE ALEGRE,PEPE MODESTA,Coordinador Adjunto,2017-01-07,CAS,Dirección General de Gente,Oficina de D,ACTIVO,NO,,IZAGUIRRE ALEGRE PEPE MODESTA
283,33311627,CALLEJA MÁRQUEZ,ELISEO ARSENIO,Analista G1,2019-11-13,D.L. 276,Dirección General de Esas,Oficina de Período,ACTIVO,NO,,CALLEJA MÁRQUEZ ELISEO ARSENIO
284,55857932,DÍEZ SOBRINO,JOSEFA ALEJANDRA,Especialista Técnico,2022-08-30,D.L. 276,Dirección General de Principios,Oficina de Lugar,ACTIVO,NO,,DÍEZ SOBRINO JOSEFA ALEJANDRA
285,51053475,BARROSO SECO,ANGELINO LÁZARO,Asistente Administrativo,2018-05-12,D.L. 728,Dirección General de Local,Oficina de Noche,ACTIVO,NO,,BARROSO SECO ANGELINO LÁZARO
286,39910062,ARNAIZ MOLES,MARTÍN ARÁNZAZU,Asistente Administrativo,2020-04-29,D.L. 728,Dirección General de G,Oficina de Vamos,ACTIVO,NO,,ARNAIZ MOLES MARTÍN ARÁNZAZU
287,76320156,SÁENZ ISERN,ANGELINO MARISA,Analista G1,2022-10-25,D.L. 276,Dirección General de Luis,Oficina de Condiciones,ACTIVO,NO,,SÁENZ ISERN ANGELINO MARISA
288,99333106,ASENJO MÁRMOL,LEANDRO EDELMIRO,Analista G1,2024-05-03,CAS,Dirección General de Datos,Oficina de Ii,ACTIVO,NO,,ASENJO MÁRMOL LEANDRO EDELMIRO
289,83955207,PÁEZ SABATER,TERESA ROLANDO,Especialista Técnico,2019-09-26,D.L. 728,Dirección General de Sistema,Oficina de Militar,ACTIVO,NO,,PÁEZ SABATER TERESA ROLANDO
290,88641165,  VALENCIA PEDRERO,  ÁMBAR NAYARA  ,Analista G1,2021-07-15,CAS,Dirección General de Informe,Oficina de Otra,ACTIVO,NO,,  VALENCIA PEDRERO   ÁMBAR NAYARA  
291,32194160,RODRIGUEZ BERMÚDEZ,TITO ELIGIA,Especialista Técnico,2026-04-19,D.L. 276,Dirección General de Cosas,Oficina de Estudios,ACTIVO,NO,,RODRIGUEZ BERMÚDEZ TITO ELIGIA
292,10075037,MARIN MONTESINOS,CRISTIAN CEBRIÁN,Especialista Técnico,2019-08-16,CAS,Dirección General de Nivel,Oficina de Seguridad,ACTIVO,NO,,MARIN MONTESINOS CRISTIAN CEBRIÁN
293,54830301,  SALMERÓN ROJAS  ,FLAVIO    JENNY,Asistente Administrativo,2020-10-13,D.L. 276,Dirección General de Edad,Oficina de Había,ACTIVO,NO,,  SALMERÓN ROJAS   FLAVIO    JENNY
294,79699990,OSORIO ROYO,LEONARDO FELICIANA,Asistente Administrativo,2026-02-23,D.L. 728,Dirección General de R,Oficina de Puede,ACTIVO,NO,,OSORIO ROYO LEONARDO FELICIANA
295,04380848,BENAVIDES RAMIS,PRUDENCIO ARMIDA,Especialista Técnico,2024-05-10,D.L. 728,Dirección General de Diario,Oficina de Tenía,ACTIVO,NO,,BENAVIDES RAMIS PRUDENCIO ARMIDA
296,94886006,ANGUITA CLAVERO,REINA EMA,Coordinador Adjunto,2023-02-16,D.L. 276,Dirección General de Consejo,Oficina de Cuando,ACTIVO,NO,,ANGUITA CLAVERO REINA EMA
297,60939054,  CASES BAUTISTA  ,  JONATAN MELANIA,Analista G1,2022-10-18,D.L. 276,Dirección General de Acción,Oficina de Tema,ACTIVO,NO,,  CASES BAUTISTA     JONATAN MELANIA
298,31329613,ANTÚNEZ CORRAL,IRIS VINICIO,Coordinador Adjunto,2025-11-01,D.L. 276,Dirección General de Música,Oficina de Ninguna,ACTIVO,NO,,ANTÚNEZ CORRAL IRIS VINICIO
299,79160219,BENÍTEZ CERVANTES,BENITA QUIQUE,Especialista Técnico,2020-04-29,D.L. 728,Dirección General de Iglesia,Oficina de María,ACTIVO,NO,,BENÍTEZ CERVANTES BENITA QUIQUE
300,15405015,  IBORRA CARBALLO,AMANCIO    MAGDALENA,Especialista Técnico,2018-03-16,D.L. 276,Dirección General de Tenido,Oficina de Servicio,ACTIVO,NO,,  IBORRA CARBALLO AMANCIO    MAGDALENA
301,19997019,CARRANZA JUÁREZ,MATILDE JUAN BAUTISTA,Coordinador Adjunto,2023-05-21,CAS,Dirección General de Hizo,Oficina de Formas,ACTIVO,NO,,CARRANZA JUÁREZ MATILDE JUAN BAUTISTA
302,09584467,MACHADO TUDELA,HERACLIO DONATO,Analista G1,2017-09-13,CAS,Dirección General de Vida,Oficina de Puntos,ACTIVO,NO,,MACHADO TUDELA HERACLIO DONATO
303,41286959,DUQUE SALGADO,CHUCHO NÉLIDA,Coordinador Adjunto,2023-03-02,D.L. 728,Dirección General de Señaló,Oficina de Mil,ACTIVO,NO,,DUQUE SALGADO CHUCHO NÉLIDA
304,16690466,OLIVERA BARÓN,CARMELITA CANDELA,Asistente Administrativo,2019-04-01,D.L. 276,Dirección General de Falta,Oficina de Tribunal,ACTIVO,NO,,OLIVERA BARÓN CARMELITA CANDELA
305,40814429,CRIADO DÁVILA,NADIA PORFIRIO,Asistente Administrativo,2021-06-07,D.L. 728,Dirección General de Hecho,Oficina de Aún,ACTIVO,NO,,CRIADO DÁVILA NADIA PORFIRIO
306,67172239,CHAMORRO GUZMÁN,MORENA ANA,Asistente Administrativo,2016-08-10,D.L. 728,Dirección General de Jóvenes,Oficina de Respuesta,ACTIVO,NO,,CHAMORRO GUZMÁN MORENA ANA
307,10796723,PEINADO SOLSONA,NIEVES CARMEN,Analista G1,2017-08-23,D.L. 728,Dirección General de Violencia,Oficina de Siempre,ACTIVO,NO,,PEINADO SOLSONA NIEVES CARMEN
308,98587475,BASTIDA    MENDOZA,  RÓMULO LILIANA,Coordinador Adjunto,2023-07-15,D.L. 276,Dirección General de Resultado,Oficina de Europa,ACTIVO,NO,,BASTIDA    MENDOZA   RÓMULO LILIANA
309,33603812,RECIO BENAVENT,EDGARDO MAXIMILIANO,Analista G1,2022-10-08,CAS,Dirección General de Visto,Oficina de Estaban,ACTIVO,NO,,RECIO BENAVENT EDGARDO MAXIMILIANO
310,30725715,VILLAR OCAÑA,EDUARDO SELENA,Analista G1,2024-08-20,D.L. 276,Dirección General de García,Oficina de Siete,ACTIVO,NO,,VILLAR OCAÑA EDUARDO SELENA
311,36173158,ESPADA CASTELLÓ,TORIBIO ANI,Analista G1,2025-06-14,CAS,Dirección General de Hay,Oficina de Industria,ACTIVO,NO,,ESPADA CASTELLÓ TORIBIO ANI
312,63149552,CASANOVA VILLEGAS,EZEQUIEL MARCO,Asistente Administrativo,2017-12-28,D.L. 728,Dirección General de Mercado,Oficina de Curso,ACTIVO,NO,,CASANOVA VILLEGAS EZEQUIEL MARCO
313,24359061,  GOMIS OLIVA  ,AURELIA    TERESA,Asistente Administrativo,2019-03-09,D.L. 276,Dirección General de Aunque,Oficina de Modo,ACTIVO,NO,,  GOMIS OLIVA   AURELIA    TERESA
314,65998320,FERRÁNDIZ LLOBET,EDGARDO EUFEMIA,Analista G1,2019-05-17,D.L. 728,Dirección General de Queda,Oficina de Sido,ACTIVO,NO,,FERRÁNDIZ LLOBET EDGARDO EUFEMIA
315,46702543,VALVERDE DOMINGO,DORA CUSTODIA,Asistente Administrativo,2017-11-20,D.L. 728,Dirección General de Trabajadores,Oficina de Pensar,ACTIVO,NO,,VALVERDE DOMINGO DORA CUSTODIA
316,43091710,NEBOT ARMENGOL,PAOLA ROSARIO,Analista G1,2016-08-17,CAS,Dirección General de Años,Oficina de Aquellas,ACTIVO,NO,,NEBOT ARMENGOL PAOLA ROSARIO
317,44265499,LANDA GALVEZ,MARÍA FERNANDA CONCHA,Asistente Administrativo,2020-07-05,D.L. 276,Dirección General de Bastante,Oficina de Sobre,ACTIVO,NO,,LANDA GALVEZ MARÍA FERNANDA CONCHA
318,66500727,VALENCIANO MANJÓN,FELISA MARCIANO,Coordinador Adjunto,2021-03-05,D.L. 276,Dirección General de Tales,Oficina de Llamado,ACTIVO,NO,,VALENCIANO MANJÓN FELISA MARCIANO
319,53747792,  RAMIS MARTORELL  ,  WILFREDO CAMILO  ,Analista G1,2023-03-26,D.L. 728,Dirección General de Estas,Oficina de Interés,ACTIVO,NO,,  RAMIS MARTORELL     WILFREDO CAMILO  
320,11819186,RICART    TOMÉ,ABRIL    HERMINIO,Coordinador Adjunto,2019-09-30,D.L. 728,Dirección General de Entonces,Oficina de Semana,ACTIVO,NO,,RICART    TOMÉ ABRIL    HERMINIO
321,43389074,MONTAÑA OJEDA,SABAS ELADIO,Analista G1,2023-12-14,D.L. 728,Dirección General de Decisión,Oficina de Fuentes,ACTIVO,NO,,MONTAÑA OJEDA SABAS ELADIO
322,69067940,CAMINO MONTAÑA,JOSE ANTONIO ADELAIDA,Analista G1,2017-07-27,D.L. 276,Dirección General de Visto,Oficina de Último,ACTIVO,NO,,CAMINO MONTAÑA JOSE ANTONIO ADELAIDA
323,72825680,CHICO CABALLERO,AURELIANO LUIS ÁNGEL,Asistente Administrativo,2025-10-19,D.L. 728,Dirección General de Considera,Oficina de Blanco,ACTIVO,NO,,CHICO CABALLERO AURELIANO LUIS ÁNGEL
324,07275150,RIPOLL HURTADO,ROSENDA VALERIA,Especialista Técnico,2017-12-10,D.L. 276,Dirección General de Éste,Oficina de Constitución,ACTIVO,NO,,RIPOLL HURTADO ROSENDA VALERIA
325,48557204,MILLA FALCÓ,MARÍA CARMEN FELICIANO,Asistente Administrativo,2021-04-30,D.L. 276,Dirección General de Decisión,Oficina de Posibilidad,ACTIVO,NO,,MILLA FALCÓ MARÍA CARMEN FELICIANO
326,59329733,VALENZUELA MENDEZ,ANASTASIA ALONSO,Analista G1,2017-03-30,CAS,Dirección General de Dio,Oficina de Dólares,ACTIVO,NO,,VALENZUELA MENDEZ ANASTASIA ALONSO
327,35843682,SEBASTIÁN HERNANDO,ILDEFONSO DALILA,Especialista Técnico,2019-11-16,D.L. 728,Dirección General de Porque,Oficina de Sería,ACTIVO,NO,,SEBASTIÁN HERNANDO ILDEFONSO DALILA
328,58802947,  URÍA SOSA,LUCHO    BRUNILDA,Asistente Administrativo,2016-06-04,CAS,Dirección General de General,Oficina de Arte,ACTIVO,NO,,  URÍA SOSA LUCHO    BRUNILDA
329,03874791,  CAÑETE LAMAS  ,LUCÍA    PÍO,Especialista Técnico,2023-12-26,D.L. 276,Dirección General de Pesar,Oficina de Años,ACTIVO,NO,,  CAÑETE LAMAS   LUCÍA    PÍO
330,21257158,PÉREZ AZCONA,CLOTILDE CHITA,Coordinador Adjunto,2018-04-17,D.L. 276,Dirección General de Sol,Oficina de Equipo,ACTIVO,NO,,PÉREZ AZCONA CLOTILDE CHITA
331,01835356,BELTRÁN POMARES,ANNA VIRGILIO,Asistente Administrativo,2023-12-28,CAS,Dirección General de Unidos,Oficina de U,ACTIVO,NO,,BELTRÁN POMARES ANNA VIRGILIO
332,30158812,CARRERA CASTELLS,CLETO RUFINO,Analista G1,2020-01-29,D.L. 728,Dirección General de Segunda,Oficina de Miguel,ACTIVO,NO,,CARRERA CASTELLS CLETO RUFINO
333,15766040,PAVÓN COBOS,HELIODORO ELIGIA,Especialista Técnico,2021-06-08,D.L. 728,Dirección General de Congreso,Oficina de También,ACTIVO,NO,,PAVÓN COBOS HELIODORO ELIGIA
334,96180871,ARRIETA ARIAS,EMIGDIO LEYRE,Coordinador Adjunto,2019-09-04,D.L. 276,Dirección General de Capacidad,Oficina de Apenas,ACTIVO,NO,,ARRIETA ARIAS EMIGDIO LEYRE
335,94678747,SAURA COMPANY,ELOÍSA TEODORA,Coordinador Adjunto,2021-07-02,D.L. 728,Dirección General de Éste,Oficina de Dan,ACTIVO,NO,,SAURA COMPANY ELOÍSA TEODORA
336,64759997,MONTALBÁN CÁMARA,RUBÉN ENCARNITA,Asistente Administrativo,2023-09-27,CAS,Dirección General de Partir,Oficina de Evitar,ACTIVO,NO,,MONTALBÁN CÁMARA RUBÉN ENCARNITA
337,61308843,NAVARRETE VENDRELL,PATRICIA ARACELI,Especialista Técnico,2021-09-01,D.L. 728,Dirección General de Artículo,Oficina de Administración,ACTIVO,NO,,NAVARRETE VENDRELL PATRICIA ARACELI
338,25583291,MARÍ TABOADA,OLALLA ALE,Especialista Técnico,2020-01-11,CAS,Dirección General de Compañía,Oficina de Poco,ACTIVO,NO,,MARÍ TABOADA OLALLA ALE
339,37077299,RIERA MENA,NATIVIDAD TRINI,Asistente Administrativo,2023-08-07,D.L. 728,Dirección General de Ejército,Oficina de Siquiera,ACTIVO,NO,,RIERA MENA NATIVIDAD TRINI
340,68147398,AMOR SÁNCHEZ,JUAN MANUEL GABRIELA,Coordinador Adjunto,2024-03-04,CAS,Dirección General de Produce,Oficina de Naturaleza,ACTIVO,NO,,AMOR SÁNCHEZ JUAN MANUEL GABRIELA
341,37962006,GOÑI AZNAR,DALILA ALEXANDRA,Coordinador Adjunto,2018-01-18,D.L. 276,Dirección General de Siquiera,Oficina de Modelo,ACTIVO,NO,,GOÑI AZNAR DALILA ALEXANDRA
342,77835999,PINTO COLOMA,PACA ISA,Asistente Administrativo,2018-10-07,CAS,Dirección General de Respuesta,Oficina de R,ACTIVO,NO,,PINTO COLOMA PACA ISA
343,59934577,CANET FARRÉ,ALEJO VALERO,Asistente Administrativo,2019-06-25,D.L. 728,Dirección General de Tal,Oficina de Relaciones,ACTIVO,NO,,CANET FARRÉ ALEJO VALERO
344,44619336,FRÍAS REGUERA,ANGÉLICA MATILDE,Asistente Administrativo,2022-06-17,D.L. 728,Dirección General de Educación,Oficina de Vio,ACTIVO,NO,,FRÍAS REGUERA ANGÉLICA MATILDE
345,43188225,BARRIOS CERVERA,AURELIA HIPÓLITO,Especialista Técnico,2021-12-14,D.L. 276,Dirección General de Permite,Oficina de Aire,ACTIVO,NO,,BARRIOS CERVERA AURELIA HIPÓLITO
346,32051938,ZARAGOZA PEÑAS,MAURICIO FULGENCIO,Asistente Administrativo,2020-12-10,CAS,Dirección General de Alguien,Oficina de Ahí,ACTIVO,NO,,ZARAGOZA PEÑAS MAURICIO FULGENCIO
347,55133301,PABLO LAMAS   ,EMILIA ALONDRA   ,Analista G1,2018-04-08,D.L. 728,Dirección General de Través,Oficina de María,ACTIVO,NO,,PABLO LAMAS    EMILIA ALONDRA   
348,99952634,MARTÍN GOMILA,MANUEL MARÍA MANUELA,Asistente Administrativo,2019-03-27,D.L. 276,Dirección General de Grandes,Oficina de Cambios,ACTIVO,NO,,MARTÍN GOMILA MANUEL MARÍA MANUELA
349,51167979,TORRIJOS MOLINS,ALEXANDRA PACO,Asistente Administrativo,2021-12-13,D.L. 276,Dirección General de Constitución,Oficina de Sala,ACTIVO,NO,,TORRIJOS MOLINS ALEXANDRA PACO
350,87512509,LLANOS MAESTRE,DOMINGO CONSUELA,Especialista Técnico,2023-02-10,D.L. 728,Dirección General de Razón,Oficina de Grado,ACTIVO,NO,,LLANOS MAESTRE DOMINGO CONSUELA
351,04968689,PRAT OCHOA,MARÍA TERESA NILDA,Especialista Técnico,2017-10-23,D.L. 276,Dirección General de Había,Oficina de Tierra,ACTIVO,NO,,PRAT OCHOA MARÍA TERESA NILDA
352,79212677,BERMÚDEZ OLIVARES,ÁMBAR VASCO,Coordinador Adjunto,2022-11-27,CAS,Dirección General de Vino,Oficina de Investigación,ACTIVO,NO,,BERMÚDEZ OLIVARES ÁMBAR VASCO
353,59096900,GARGALLO FRANCH,PASTORA BÁRBARA,Analista G1,2019-01-21,D.L. 276,Dirección General de Fuentes,Oficina de Viaje,ACTIVO,NO,,GARGALLO FRANCH PASTORA BÁRBARA
354,61327849,LLABRÉS CERVANTES,CÉSAR ENCARNACIÓN,Analista G1,2023-10-03,D.L. 276,Dirección General de Padre,Oficina de Relación,ACTIVO,NO,,LLABRÉS CERVANTES CÉSAR ENCARNACIÓN
355,19348213,AYUSO GONZALEZ,FELICIA JOAN,Asistente Administrativo,2016-11-13,D.L. 276,Dirección General de Espacio,Oficina de Español,ACTIVO,NO,,AYUSO GONZALEZ FELICIA JOAN
356,20718013,SUREDA CABRERA,ISA MARÍA MANUELA,Analista G1,2017-09-20,D.L. 728,Dirección General de Vuelve,Oficina de Manuel,ACTIVO,NO,,SUREDA CABRERA ISA MARÍA MANUELA
357,35570756,CRUZ RAMÍREZ,FORTUNATA SILVIA,Coordinador Adjunto,2025-02-16,D.L. 276,Dirección General de Valor,Oficina de Tratamiento,ACTIVO,NO,,CRUZ RAMÍREZ FORTUNATA SILVIA
358,92973238,FLORES MADRIGAL,MIGUEL ÁNGEL LUCHO,Asistente Administrativo,2022-10-21,D.L. 276,Dirección General de Precios,Oficina de Expresión,ACTIVO,NO,,FLORES MADRIGAL MIGUEL ÁNGEL LUCHO
359,10779740,BORRÁS GUERRA,BIENVENIDA MAMEN,Coordinador Adjunto,2023-07-30,D.L. 276,Dirección General de Estilo,Oficina de Ser,ACTIVO,NO,,BORRÁS GUERRA BIENVENIDA MAMEN
360,71621575,DÍEZ RIOS,SOFÍA PILAR,Asistente Administrativo,2018-02-07,D.L. 728,Dirección General de Semanas,Oficina de Esta,ACTIVO,NO,,DÍEZ RIOS SOFÍA PILAR
361,84127562,PUERTA VALBUENA,GILBERTO MARIANELA,Asistente Administrativo,2025-12-19,D.L. 276,Dirección General de Martín,Oficina de Segundo,ACTIVO,NO,,PUERTA VALBUENA GILBERTO MARIANELA
362,04818296,ARCOS AGULLO,MARC CLEMENTINA,Analista G1,2022-05-16,CAS,Dirección General de Marzo,Oficina de Palabras,ACTIVO,NO,,ARCOS AGULLO MARC CLEMENTINA
363,84712998,LUÍS SANTOS,FELIPA CANDELARIA,Coordinador Adjunto,2021-08-03,CAS,Dirección General de Ii,Oficina de Imposible,ACTIVO,NO,,LUÍS SANTOS FELIPA CANDELARIA
364,12130509,CAÑETE VARELA,ADELINA LEANDRO,Asistente Administrativo,2018-04-10,CAS,Dirección General de Mayor,Oficina de Español,ACTIVO,NO,,CAÑETE VARELA ADELINA LEANDRO
365,85060194,CÁMARA SEGARRA,FLORA JOSÉ ÁNGEL,Analista G1,2023-07-14,D.L. 728,Dirección General de No,Oficina de Mitad,ACTIVO,NO,,CÁMARA SEGARRA FLORA JOSÉ ÁNGEL
366,22329104,NAVAS MARQUEZ,CLEMENTINA ILEANA,Coordinador Adjunto,2023-12-02,CAS,Dirección General de Fueron,Oficina de Objetivo,ACTIVO,NO,,NAVAS MARQUEZ CLEMENTINA ILEANA
367,06172804,RAMIREZ ROMA,ARÁNZAZU NACIO,Coordinador Adjunto,2017-03-18,CAS,Dirección General de Radio,Oficina de País,ACTIVO,NO,,RAMIREZ ROMA ARÁNZAZU NACIO
368,39375157,ESTEBAN CHECA,ALBINA MOISÉS,Coordinador Adjunto,2025-09-14,D.L. 728,Dirección General de A,Oficina de Mujeres,ACTIVO,NO,,ESTEBAN CHECA ALBINA MOISÉS
369,57805803,PLA GUTIÉRREZ,VICTORIANO MARISA,Especialista Técnico,2019-01-06,CAS,Dirección General de Orden,Oficina de Propio,ACTIVO,NO,,PLA GUTIÉRREZ VICTORIANO MARISA
370,71291937,ALBERDI JURADO,FRANCISCA PLÁCIDO,Asistente Administrativo,2023-04-10,D.L. 276,Dirección General de Parte,Oficina de Tiempos,ACTIVO,NO,,ALBERDI JURADO FRANCISCA PLÁCIDO
371,91509697,CARRASCO SOLANA   ,  MARINO FELICIANO,Especialista Técnico,2020-05-25,CAS,Dirección General de Hijos,Oficina de Sistemas,ACTIVO,NO,,CARRASCO SOLANA      MARINO FELICIANO
372,23497412,  MERCADER CARPIO,FELICIANA    YÉSICA,Analista G1,2025-10-02,D.L. 276,Dirección General de Sabe,Oficina de Origen,ACTIVO,NO,,  MERCADER CARPIO FELICIANA    YÉSICA
373,51344227,GINER GILABERT,ELISEO ALE,Especialista Técnico,2017-11-16,D.L. 728,Dirección General de Vino,Oficina de Posición,ACTIVO,NO,,GINER GILABERT ELISEO ALE
374,78270026,PEREIRA RICART,JUDITH CARMELA,Especialista Técnico,2025-06-22,CAS,Dirección General de Riesgo,Oficina de Causa,ACTIVO,NO,,PEREIRA RICART JUDITH CARMELA
375,61894494,GIL HUERTAS,IRMA MARISELA,Coordinador Adjunto,2022-04-21,D.L. 728,Dirección General de Cuestión,Oficina de Hace,ACTIVO,NO,,GIL HUERTAS IRMA MARISELA
376,34269371,ZARAGOZA SALOM,BELÉN JULIANA,Analista G1,2019-12-18,D.L. 728,Dirección General de Concepto,Oficina de Común,ACTIVO,NO,,ZARAGOZA SALOM BELÉN JULIANA
377,38605269,CAPARRÓS BARRIO,PATRICIA CARLA,Especialista Técnico,2025-05-17,CAS,Dirección General de Parece,Oficina de Respuesta,ACTIVO,NO,,CAPARRÓS BARRIO PATRICIA CARLA
378,59287968,CONDE CÓRDOBA,NACIO RICARDA,Coordinador Adjunto,2021-07-19,D.L. 276,Dirección General de Algo,Oficina de Ve,ACTIVO,NO,,CONDE CÓRDOBA NACIO RICARDA
379,40151804,FUERTES TORRIJOS,CIRIACO TRINI,Asistente Administrativo,2021-06-13,D.L. 276,Dirección General de Título,Oficina de Hay,ACTIVO,NO,,FUERTES TORRIJOS CIRIACO TRINI
380,33567616,SANTANA CATALÁN,ARMIDA SEVERO,Asistente Administrativo,2020-11-29,D.L. 728,Dirección General de Todos,Oficina de Pedro,ACTIVO,NO,,SANTANA CATALÁN ARMIDA SEVERO
381,26738453,SEVILLA MENDEZ,LORETO ALFREDO,Asistente Administrativo,2020-04-21,D.L. 728,Dirección General de Democracia,Oficina de El,ACTIVO,NO,,SEVILLA MENDEZ LORETO ALFREDO
382,14314760,GIBERT BELTRAN,ARTEMIO TEO,Especialista Técnico,2019-10-16,D.L. 728,Dirección General de Él,Oficina de Voy,ACTIVO,NO,,GIBERT BELTRAN ARTEMIO TEO
383,76762165,  BARRENA BAYÓN,AGUSTINA AMÍLCAR   ,Coordinador Adjunto,2019-03-20,D.L. 276,Dirección General de Cosas,Oficina de Expresión,ACTIVO,NO,,  BARRENA BAYÓN AGUSTINA AMÍLCAR   
384,39711320,CERDÁ RIVERA,REINALDO TATIANA,Coordinador Adjunto,2020-03-03,CAS,Dirección General de Socialista,Oficina de Concepto,ACTIVO,NO,,CERDÁ RIVERA REINALDO TATIANA
385,88346111,PINA PEÑA,CECILIO ISABELA,Asistente Administrativo,2025-12-27,D.L. 728,Dirección General de Aun,Oficina de Allá,ACTIVO,NO,,PINA PEÑA CECILIO ISABELA
386,01086891,CAÑAS OLIVERAS,DIEGO GASPAR,Analista G1,2026-04-10,D.L. 276,Dirección General de Dio,Oficina de Gracias,ACTIVO,NO,,CAÑAS OLIVERAS DIEGO GASPAR
387,66669608,CASTEJÓN GISBERT,PERLITA ABRAHAM,Coordinador Adjunto,2023-11-28,CAS,Dirección General de Largo,Oficina de Hacía,ACTIVO,NO,,CASTEJÓN GISBERT PERLITA ABRAHAM
388,81478885,RODRIGO PINILLA,PALMIRA JEREMÍAS,Coordinador Adjunto,2018-10-27,CAS,Dirección General de Igual,Oficina de Primer,ACTIVO,NO,,RODRIGO PINILLA PALMIRA JEREMÍAS
389,85445406,LLORENS FABREGAT,SARA LUCIANA,Especialista Técnico,2024-01-01,D.L. 276,Dirección General de Este,Oficina de Título,ACTIVO,NO,,LLORENS FABREGAT SARA LUCIANA
390,33638560,RIUS ALCÁZAR,JOSE ANGEL HILARIO,Especialista Técnico,2017-01-06,D.L. 276,Dirección General de Color,Oficina de Entre,ACTIVO,NO,,RIUS ALCÁZAR JOSE ANGEL HILARIO
391,13041122,SALOM ATIENZA,JOSE IGNACIO MANU,Analista G1,2016-10-14,D.L. 728,Dirección General de Personal,Oficina de Estar,ACTIVO,NO,,SALOM ATIENZA JOSE IGNACIO MANU
